queryId,rep,http,tookMs,effectiveMode,stageId,status,ms
q04,0,200,1751,HYBRID,cross-encoder,executed,253
q04,0,200,1751,HYBRID,freshness,executed,
q04,1,200,1673,HYBRID,correction,skipped,
q04,1,200,1673,HYBRID,sparse-retrieval,executed,
q04,1,200,1673,HYBRID,dense-retrieval,executed,
q04,1,200,1673,HYBRID,splade-retrieval,skipped,
q04,1,200,1673,HYBRID,fusion,executed,9
q04,1,200,1673,HYBRID,chunk-merge,executed,12
q04,1,200,1673,HYBRID,branch-fusion,executed,0
q04,1,200,1673,HYBRID,query-understanding,executed,
q04,1,200,1673,HYBRID,expansion,skipped,
q04,1,200,1673,HYBRID,lambdamart,skipped,
q04,1,200,1673,HYBRID,cross-encoder,executed,215
q04,1,200,1673,HYBRID,freshness,executed,
q04,2,200,1737,HYBRID,correction,skipped,
q04,2,200,1737,HYBRID,sparse-retrieval,executed,
q04,2,200,1737,HYBRID,dense-retrieval,executed,
q04,2,200,1737,HYBRID,splade-retrieval,skipped,
q04,2,200,1737,HYBRID,fusion,executed,8
q04,2,200,1737,HYBRID,chunk-merge,executed,12
q04,2,200,1737,HYBRID,branch-fusion,executed,0
q04,2,200,1737,HYBRID,query-understanding,executed,
q04,2,200,1737,HYBRID,expansion,skipped,
q04,2,200,1737,HYBRID,lambdamart,skipped,
q04,2,200,1737,HYBRID,cross-encoder,executed,233
q04,2,200,1737,HYBRID,freshness,executed,
q05,0,200,607,HYBRID,correction,skipped,
q05,0,200,607,HYBRID,sparse-retrieval,executed,
q05,0,200,607,HYBRID,dense-retrieval,executed,
q05,0,200,607,HYBRID,splade-retrieval,skipped,
q05,0,200,607,HYBRID,fusion,executed,7
q05,0,200,607,HYBRID,chunk-merge,executed,11
q05,0,200,607,HYBRID,branch-fusion,executed,0
q05,0,200,607,HYBRID,query-understanding,executed,
q05,0,200,607,HYBRID,expansion,skipped,
q05,0,200,607,HYBRID,lambdamart,skipped,
q05,0,200,607,HYBRID,cross-encoder,executed,203
q05,0,200,607,HYBRID,freshness,executed,
q05,1,200,459,HYBRID,correction,skipped,
q05,1,200,459,HYBRID,sparse-retrieval,executed,
q05,1,200,459,HYBRID,dense-retrieval,executed,
q05,1,200,459,HYBRID,splade-retrieval,skipped,
q05,1,200,459,HYBRID,fusion,executed,7
q05,1,200,459,HYBRID,chunk-merge,executed,12
q05,1,200,459,HYBRID,branch-fusion,executed,0
q05,1,200,459,HYBRID,query-understanding,executed,
q05,1,200,459,HYBRID,expansion,skipped,
q05,1,200,459,HYBRID,lambdamart,skipped,
q05,1,200,459,HYBRID,cross-encoder,executed,182
q05,1,200,459,HYBRID,freshness,executed,
q05,2,200,349,HYBRID,correction,skipped,
q05,2,200,349,HYBRID,sparse-retrieval,executed,
q05,2,200,349,HYBRID,dense-retrieval,executed,
q05,2,200,349,HYBRID,splade-retrieval,skipped,
q05,2,200,349,HYBRID,fusion,executed,8
q05,2,200,349,HYBRID,chunk-merge,executed,11
q05,2,200,349,HYBRID,branch-fusion,executed,0
q05,2,200,349,HYBRID,query-understanding,executed,
q05,2,200,349,HYBRID,expansion,skipped,
q05,2,200,349,HYBRID,lambdamart,skipped,
q05,2,200,349,HYBRID,cross-encoder,executed,145
q05,2,200,349,HYBRID,freshness,executed,
q06,0,200,542,HYBRID,correction,skipped,
q06,0,200,542,HYBRID,sparse-retrieval,executed,
q06,0,200,542,HYBRID,dense-retrieval,executed,
q06,0,200,542,HYBRID,splade-retrieval,skipped,
q06,0,200,542,HYBRID,fusion,executed,8
q06,0,200,542,HYBRID,chunk-merge,executed,13
q06,0,200,542,HYBRID,branch-fusion,executed,0
q06,0,200,542,HYBRID,query-understanding,executed,
q06,0,200,542,HYBRID,expansion,skipped,
q06,0,200,542,HYBRID,lambdamart,skipped,
q06,0,200,542,HYBRID,cross-encoder,executed,147
q06,0,200,542,HYBRID,freshness,executed,
q06,1,200,511,HYBRID,correction,skipped,
q06,1,200,511,HYBRID,sparse-retrieval,executed,
q06,1,200,511,HYBRID,dense-retrieval,executed,
q06,1,200,511,HYBRID,splade-retrieval,skipped,
q06,1,200,511,HYBRID,fusion,executed,9
q06,1,200,511,HYBRID,chunk-merge,executed,15
q06,1,200,511,HYBRID,branch-fusion,executed,0
q06,1,200,511,HYBRID,query-understanding,executed,
q06,1,200,511,HYBRID,expansion,skipped,
q06,1,200,511,HYBRID,lambdamart,skipped,
q06,1,200,511,HYBRID,cross-encoder,executed,140
q06,1,200,511,HYBRID,freshness,executed,
q06,2,200,427,HYBRID,correction,skipped,
q06,2,200,427,HYBRID,sparse-retrieval,executed,
q06,2,200,427,HYBRID,dense-retrieval,executed,
q06,2,200,427,HYBRID,splade-retrieval,skipped,
q06,2,200,427,HYBRID,fusion,executed,8
q06,2,200,427,HYBRID,chunk-merge,executed,13
q06,2,200,427,HYBRID,branch-fusion,executed,0
q06,2,200,427,HYBRID,query-understanding,executed,
q06,2,200,427,HYBRID,expansion,skipped,
q06,2,200,427,HYBRID,lambdamart,skipped,
q06,2,200,427,HYBRID,cross-encoder,executed,142
q06,2,200,427,HYBRID,freshness,executed,
q07,0,200,280,HYBRID,correction,skipped,
q07,0,200,280,HYBRID,sparse-retrieval,executed,
q07,0,200,280,HYBRID,dense-retrieval,executed,
q07,0,200,280,HYBRID,splade-retrieval,skipped,
q07,0,200,280,HYBRID,fusion,executed,7
q07,0,200,280,HYBRID,chunk-merge,skipped,
q07,0,200,280,HYBRID,branch-fusion,skipped,
q07,0,200,280,HYBRID,query-understanding,executed,
q07,0,200,280,HYBRID,expansion,executed,
q07,0,200,280,HYBRID,lambdamart,skipped,
q07,0,200,280,HYBRID,cross-encoder,executed,144
q07,0,200,280,HYBRID,freshness,executed,
q07,1,200,248,HYBRID,correction,skipped,
q07,1,200,248,HYBRID,sparse-retrieval,executed,
q07,1,200,248,HYBRID,dense-retrieval,executed,
q07,1,200,248,HYBRID,splade-retrieval,skipped,
q07,1,200,248,HYBRID,fusion,executed,7
q07,1,200,248,HYBRID,chunk-merge,skipped,
q07,1,200,248,HYBRID,branch-fusion,skipped,
q07,1,200,248,HYBRID,query-understanding,executed,
q07,1,200,248,HYBRID,expansion,executed,
q07,1,200,248,HYBRID,lambdamart,skipped,
q07,1,200,248,HYBRID,cross-encoder,executed,140
q07,1,200,248,HYBRID,freshness,executed,
q07,2,200,252,HYBRID,correction,skipped,
q07,2,200,252,HYBRID,sparse-retrieval,executed,
q07,2,200,252,HYBRID,dense-retrieval,executed,
q07,2,200,252,HYBRID,splade-retrieval,skipped,
q07,2,200,252,HYBRID,fusion,executed,7
q07,2,200,252,HYBRID,chunk-merge,skipped,
q07,2,200,252,HYBRID,branch-fusion,skipped,
q07,2,200,252,HYBRID,query-understanding,executed,
q07,2,200,252,HYBRID,expansion,executed,
q07,2,200,252,HYBRID,lambdamart,skipped,
q07,2,200,252,HYBRID,cross-encoder,executed,148
q07,2,200,252,HYBRID,freshness,executed,
q08,0,200,301,HYBRID,correction,skipped,
q08,0,200,301,HYBRID,sparse-retrieval,executed,
q08,0,200,301,HYBRID,dense-retrieval,executed,
q08,0,200,301,HYBRID,splade-retrieval,skipped,
q08,0,200,301,HYBRID,fusion,executed,7
q08,0,200,301,HYBRID,chunk-merge,skipped,
q08,0,200,301,HYBRID,branch-fusion,skipped,
q08,0,200,301,HYBRID,query-understanding,executed,
q08,0,200,301,HYBRID,expansion,executed,
q08,0,200,301,HYBRID,lambdamart,skipped,
q08,0,200,301,HYBRID,cross-encoder,executed,143
q08,0,200,301,HYBRID,freshness,executed,
q08,1,200,262,HYBRID,correction,skipped,
q08,1,200,262,HYBRID,sparse-retrieval,executed,
q08,1,200,262,HYBRID,dense-retrieval,executed,
q08,1,200,262,HYBRID,splade-retrieval,skipped,
q08,1,200,262,HYBRID,fusion,executed,7
q08,1,200,262,HYBRID,chunk-merge,skipped,
q08,1,200,262,HYBRID,branch-fusion,skipped,
q08,1,200,262,HYBRID,query-understanding,executed,
q08,1,200,262,HYBRID,expansion,executed,
q08,1,200,262,HYBRID,lambdamart,skipped,
q08,1,200,262,HYBRID,cross-encoder,executed,140
q08,1,200,262,HYBRID,freshness,executed,
q08,2,200,276,HYBRID,correction,skipped,
q08,2,200,276,HYBRID,sparse-retrieval,executed,
q08,2,200,276,HYBRID,dense-retrieval,executed,
q08,2,200,276,HYBRID,splade-retrieval,skipped,
q08,2,200,276,HYBRID,fusion,executed,8
q08,2,200,276,HYBRID,chunk-merge,skipped,
q08,2,200,276,HYBRID,branch-fusion,skipped,
q08,2,200,276,HYBRID,query-understanding,executed,
q08,2,200,276,HYBRID,expansion,executed,
q08,2,200,276,HYBRID,lambdamart,skipped,
q08,2,200,276,HYBRID,cross-encoder,executed,156
q08,2,200,276,HYBRID,freshness,executed,
q09,0,200,779,HYBRID,correction,skipped,
q09,0,200,779,HYBRID,sparse-retrieval,executed,
q09,0,200,779,HYBRID,dense-retrieval,executed,
q09,0,200,779,HYBRID,splade-retrieval,skipped,
q09,0,200,779,HYBRID,fusion,executed,8
q09,0,200,779,HYBRID,chunk-merge,executed,13
q09,0,200,779,HYBRID,branch-fusion,executed,0
q09,0,200,779,HYBRID,query-understanding,executed,
q09,0,200,779,HYBRID,expansion,skipped,
q09,0,200,779,HYBRID,lambdamart,skipped,
q09,0,200,779,HYBRID,cross-encoder,executed,146
q09,0,200,779,HYBRID,freshness,executed,
q09,1,200,803,HYBRID,correction,skipped,
q09,1,200,803,HYBRID,sparse-retrieval,executed,
q09,1,200,803,HYBRID,dense-retrieval,executed,
q09,1,200,803,HYBRID,splade-retrieval,skipped,
q09,1,200,803,HYBRID,fusion,executed,8
q09,1,200,803,HYBRID,chunk-merge,executed,13
q09,1,200,803,HYBRID,branch-fusion,executed,0
q09,1,200,803,HYBRID,query-understanding,executed,
q09,1,200,803,HYBRID,expansion,skipped,
q09,1,200,803,HYBRID,lambdamart,skipped,
q09,1,200,803,HYBRID,cross-encoder,executed,147
q09,1,200,803,HYBRID,freshness,executed,
q09,2,200,755,HYBRID,correction,skipped,
q09,2,200,755,HYBRID,sparse-retrieval,executed,
q09,2,200,755,HYBRID,dense-retrieval,executed,
q09,2,200,755,HYBRID,splade-retrieval,skipped,
q09,2,200,755,HYBRID,fusion,executed,7
q09,2,200,755,HYBRID,chunk-merge,executed,12
q09,2,200,755,HYBRID,branch-fusion,executed,0
q09,2,200,755,HYBRID,query-understanding,executed,
q09,2,200,755,HYBRID,expansion,skipped,
q09,2,200,755,HYBRID,lambdamart,skipped,
q09,2,200,755,HYBRID,cross-encoder,executed,145
q09,2,200,755,HYBRID,freshness,executed,
q10,0,200,442,HYBRID,correction,skipped,
q10,0,200,442,HYBRID,sparse-retrieval,executed,
q10,0,200,442,HYBRID,dense-retrieval,executed,
q10,0,200,442,HYBRID,splade-retrieval,skipped,
q10,0,200,442,HYBRID,fusion,executed,7
q10,0,200,442,HYBRID,chunk-merge,skipped,
q10,0,200,442,HYBRID,branch-fusion,skipped,
q10,0,200,442,HYBRID,query-understanding,executed,
q10,0,200,442,HYBRID,expansion,executed,
q10,0,200,442,HYBRID,lambdamart,skipped,
q10,0,200,442,HYBRID,cross-encoder,executed,143
q10,0,200,442,HYBRID,freshness,executed,
q10,1,200,356,HYBRID,correction,skipped,
q10,1,200,356,HYBRID,sparse-retrieval,executed,
q10,1,200,356,HYBRID,dense-retrieval,executed,
q10,1,200,356,HYBRID,splade-retrieval,skipped,
q10,1,200,356,HYBRID,fusion,executed,7
q10,1,200,356,HYBRID,chunk-merge,skipped,
q10,1,200,356,HYBRID,branch-fusion,skipped,
q10,1,200,356,HYBRID,query-understanding,executed,
q10,1,200,356,HYBRID,expansion,executed,
q10,1,200,356,HYBRID,lambdamart,skipped,
q10,1,200,356,HYBRID,cross-encoder,executed,141
q10,1,200,356,HYBRID,freshness,executed,
q10,2,200,293,HYBRID,correction,skipped,
q10,2,200,293,HYBRID,sparse-retrieval,executed,
q10,2,200,293,HYBRID,dense-retrieval,executed,
q10,2,200,293,HYBRID,splade-retrieval,skipped,
q10,2,200,293,HYBRID,fusion,executed,7
q10,2,200,293,HYBRID,chunk-merge,skipped,
q10,2,200,293,HYBRID,branch-fusion,skipped,
q10,2,200,293,HYBRID,query-understanding,executed,
q10,2,200,293,HYBRID,expansion,executed,
q10,2,200,293,HYBRID,lambdamart,skipped,
q10,2,200,293,HYBRID,cross-encoder,executed,144
q10,2,200,293,HYBRID,freshness,executed,
q11,0,200,779,HYBRID,correction,skipped,
q11,0,200,779,HYBRID,sparse-retrieval,executed,
q11,0,200,779,HYBRID,dense-retrieval,executed,
q11,0,200,779,HYBRID,splade-retrieval,skipped,
q11,0,200,779,HYBRID,fusion,executed,7
q11,0,200,779,HYBRID,chunk-merge,executed,13
q11,0,200,779,HYBRID,branch-fusion,executed,0
q11,0,200,779,HYBRID,query-understanding,executed,
q11,0,200,779,HYBRID,expansion,skipped,
q11,0,200,779,HYBRID,lambdamart,skipped,
q11,0,200,779,HYBRID,cross-encoder,executed,143
q11,0,200,779,HYBRID,freshness,executed,
q11,1,200,752,HYBRID,correction,skipped,
q11,1,200,752,HYBRID,sparse-retrieval,executed,
q11,1,200,752,HYBRID,dense-retrieval,executed,
q11,1,200,752,HYBRID,splade-retrieval,skipped,
q11,1,200,752,HYBRID,fusion,executed,7
q11,1,200,752,HYBRID,chunk-merge,executed,13
q11,1,200,752,HYBRID,branch-fusion,executed,0
q11,1,200,752,HYBRID,query-understanding,executed,
q11,1,200,752,HYBRID,expansion,skipped,
q11,1,200,752,HYBRID,lambdamart,skipped,
q11,1,200,752,HYBRID,cross-encoder,executed,144
q11,1,200,752,HYBRID,freshness,executed,
q11,2,200,754,HYBRID,correction,skipped,
q11,2,200,754,HYBRID,sparse-retrieval,executed,
q11,2,200,754,HYBRID,dense-retrieval,executed,
q11,2,200,754,HYBRID,splade-retrieval,skipped,
q11,2,200,754,HYBRID,fusion,executed,8
q11,2,200,754,HYBRID,chunk-merge,executed,13
q11,2,200,754,HYBRID,branch-fusion,executed,0
q11,2,200,754,HYBRID,query-understanding,executed,
q11,2,200,754,HYBRID,expansion,skipped,
q11,2,200,754,HYBRID,lambdamart,skipped,
q11,2,200,754,HYBRID,cross-encoder,executed,144
q11,2,200,754,HYBRID,freshness,executed,
q12,0,200,817,HYBRID,correction,skipped,
q12,0,200,817,HYBRID,sparse-retrieval,executed,
q12,0,200,817,HYBRID,dense-retrieval,executed,
q12,0,200,817,HYBRID,splade-retrieval,skipped,
q12,0,200,817,HYBRID,fusion,executed,7
q12,0,200,817,HYBRID,chunk-merge,executed,11
q12,0,200,817,HYBRID,branch-fusion,executed,0
q12,0,200,817,HYBRID,query-understanding,executed,
q12,0,200,817,HYBRID,expansion,skipped,
q12,0,200,817,HYBRID,lambdamart,skipped,
q12,0,200,817,HYBRID,cross-encoder,executed,145
q12,0,200,817,HYBRID,freshness,executed,
q12,1,200,758,HYBRID,correction,skipped,
q12,1,200,758,HYBRID,sparse-retrieval,executed,
q12,1,200,758,HYBRID,dense-retrieval,executed,
q12,1,200,758,HYBRID,splade-retrieval,skipped,
q12,1,200,758,HYBRID,fusion,executed,7
q12,1,200,758,HYBRID,chunk-merge,executed,11
q12,1,200,758,HYBRID,branch-fusion,executed,0
q12,1,200,758,HYBRID,query-understanding,executed,
q12,1,200,758,HYBRID,expansion,skipped,
q12,1,200,758,HYBRID,lambdamart,skipped,
q12,1,200,758,HYBRID,cross-encoder,executed,143
q12,1,200,758,HYBRID,freshness,executed,
q12,2,200,752,HYBRID,correction,skipped,
q12,2,200,752,HYBRID,sparse-retrieval,executed,
q12,2,200,752,HYBRID,dense-retrieval,executed,
q12,2,200,752,HYBRID,splade-retrieval,skipped,
q12,2,200,752,HYBRID,fusion,executed,7
q12,2,200,752,HYBRID,chunk-merge,executed,13
q12,2,200,752,HYBRID,branch-fusion,executed,0
q12,2,200,752,HYBRID,query-understanding,executed,
q12,2,200,752,HYBRID,expansion,skipped,
q12,2,200,752,HYBRID,lambdamart,skipped,
q12,2,200,752,HYBRID,cross-encoder,executed,143
q12,2,200,752,HYBRID,freshness,executed,
