ts,role,pid,workingSetMB,privateMB,cpuSec,threads
2026-09-07T10:02:39.3028050+02:00,head,35200,363.8,682.7,4.8,96
2026-09-07T10:02:39.3058044+02:00,worker,44620,4165,7136.4,31.9,175
2026-09-07T10:02:41.3606175+02:00,head,35200,363.8,682.6,4.9,94
2026-09-07T10:02:41.3636184+02:00,worker,44620,4168.6,7136.8,32.7,173
2026-09-07T10:02:43.4032995+02:00,head,35200,364.1,682.7,5,96
2026-09-07T10:02:43.4068666+02:00,worker,44620,4172.8,7137.5,33.9,176
2026-09-07T10:02:45.4783746+02:00,head,35200,364.7,683.5,5,96
2026-09-07T10:02:45.4808814+02:00,worker,44620,4201.1,7921,34.9,172
2026-09-07T10:02:47.5231736+02:00,head,35200,364.9,683.5,5.1,96
2026-09-07T10:02:47.5261734+02:00,worker,44620,4180.3,7138.1,35.7,172
2026-09-07T10:02:49.5691076+02:00,head,35200,365,683.5,5.2,96
2026-09-07T10:02:49.5722604+02:00,worker,44620,4185.2,7138.4,36.7,172
2026-09-07T10:02:51.6157061+02:00,head,35200,365,683.5,5.2,95
2026-09-07T10:02:51.6182227+02:00,worker,44620,4212,7913.9,37.6,172
2026-09-07T10:02:53.6913283+02:00,head,35200,366.9,684.7,5.3,95
2026-09-07T10:02:53.6943314+02:00,worker,44620,4192.4,7139,38.4,172
2026-09-07T10:02:55.7549583+02:00,head,35200,367.1,684.6,5.4,94
2026-09-07T10:02:55.7579582+02:00,worker,44620,4195.9,7139.4,39.2,173
2026-09-07T10:02:57.8465471+02:00,head,35200,367.9,683.8,5.5,98
2026-09-07T10:02:57.8495515+02:00,worker,44620,4222.8,7930.9,40.2,173
2026-09-07T10:02:59.8941187+02:00,head,35200,369,684.8,5.6,96
2026-09-07T10:02:59.8971189+02:00,worker,44620,4199.5,7139.7,40.4,172
2026-09-07T10:03:01.9586270+02:00,head,35200,369,684.7,5.6,95
2026-09-07T10:03:01.9616271+02:00,worker,44620,4200.5,7139.7,40.7,172
2026-09-07T10:03:04.0338599+02:00,head,35200,371.1,684.7,5.7,95
2026-09-07T10:03:04.0369393+02:00,worker,44620,4204.4,7139.9,41.6,172
2026-09-07T10:03:06.0756312+02:00,head,35200,378.1,684.7,5.7,94
2026-09-07T10:03:06.0781360+02:00,worker,44620,4206.7,7108.1,42.2,172
2026-09-07T10:03:08.1377925+02:00,head,35200,384.5,684.7,5.8,94
2026-09-07T10:03:08.1407920+02:00,worker,44620,4209.7,7140.4,42.8,172
2026-09-07T10:03:10.1892971+02:00,head,35200,384.5,684.7,5.8,94
2026-09-07T10:03:10.1918446+02:00,worker,44620,4212.6,7140.6,43.7,173
2026-09-07T10:03:12.2593594+02:00,head,35200,384.7,684.8,5.8,96
2026-09-07T10:03:12.2618748+02:00,worker,44620,4214.6,7124.7,44.5,174
2026-09-07T10:03:14.3535349+02:00,head,35200,385,684.8,6.1,96
2026-09-07T10:03:14.3565356+02:00,worker,44620,4242.6,7936.5,45.4,174
2026-09-07T10:03:16.4030606+02:00,head,35200,385.1,684.7,6.2,95
2026-09-07T10:03:16.4050664+02:00,worker,44620,4222.4,7141.5,46.4,173
2026-09-07T10:03:18.4665928+02:00,head,35200,385.1,684.7,6.2,93
2026-09-07T10:03:18.4696460+02:00,worker,44620,4227.3,7141.7,47.1,172
2026-09-07T10:03:20.5420953+02:00,head,35200,385.7,684.7,6.2,93
2026-09-07T10:03:20.5446053+02:00,worker,44620,4231.2,7142.1,48.3,172
2026-09-07T10:03:22.6152273+02:00,head,35200,385.7,684.7,6.2,93
2026-09-07T10:03:22.6172193+02:00,worker,44620,4233.9,7142.4,49.4,171
2026-09-07T10:03:24.6781106+02:00,head,35200,385.8,684.7,6.3,94
2026-09-07T10:03:24.6801169+02:00,worker,44620,4237.3,7142.6,49.9,171
2026-09-07T10:03:26.7291580+02:00,head,35200,393.4,692.3,6.4,92
2026-09-07T10:03:26.7324644+02:00,worker,44620,4263.3,7917.8,50.6,171
2026-09-07T10:03:28.7974647+02:00,head,35200,393.8,693.7,6.4,100
2026-09-07T10:03:28.8009218+02:00,worker,44620,4242.9,7143,51.6,171
2026-09-07T10:03:30.8594163+02:00,head,35200,393.8,693.4,6.4,94
2026-09-07T10:03:30.8624174+02:00,worker,44620,4269.6,7928.9,52.4,171
2026-09-07T10:03:32.9225869+02:00,head,35200,385.5,685.3,6.5,93
2026-09-07T10:03:32.9255874+02:00,worker,44620,4249.8,7127.3,53.4,172
2026-09-07T10:03:34.9923734+02:00,head,35200,385.9,685.5,6.5,92
2026-09-07T10:03:34.9990233+02:00,worker,44620,4253.3,7143.5,53.9,171
2026-09-07T10:03:37.0758069+02:00,head,35200,386.1,685.5,6.6,93
2026-09-07T10:03:37.0787932+02:00,worker,44620,4256.5,7143.7,54.9,171
2026-09-07T10:03:39.1436388+02:00,head,35200,390.5,689.2,6.7,100
2026-09-07T10:03:39.1456563+02:00,worker,44620,4264.1,7144.7,55.4,174
2026-09-07T10:03:41.2044335+02:00,head,35200,390.5,689.2,6.8,100
2026-09-07T10:03:41.2064413+02:00,worker,44620,4270,6912.3,56,171
2026-09-07T10:03:43.2456456+02:00,head,35200,390.7,689.4,6.8,101
2026-09-07T10:03:43.2486457+02:00,worker,44620,4272.7,6912.7,56.2,171
2026-09-07T10:03:45.3191050+02:00,head,35200,390.7,689.4,6.9,98
2026-09-07T10:03:45.3211021+02:00,worker,44620,4275.7,6912.9,56.3,172
2026-09-07T10:03:47.3759101+02:00,head,35200,390.6,689.2,6.9,96
2026-09-07T10:03:47.3789099+02:00,worker,44620,4276.8,6913.1,56.3,172
2026-09-07T10:03:49.4095007+02:00,head,35200,391.1,689.6,7,95
2026-09-07T10:03:49.4130336+02:00,worker,44620,4280.7,6913.3,56.4,172
2026-09-07T10:03:51.4722989+02:00,head,35200,392.7,691.4,7.2,96
2026-09-07T10:03:51.4801447+02:00,worker,44620,4281.9,6913.6,56.5,174
2026-09-07T10:03:53.5397292+02:00,head,35200,392.4,691.6,7.2,97
2026-09-07T10:03:53.5443105+02:00,worker,44620,4281.8,6913.4,56.5,172
2026-09-07T10:03:55.5913489+02:00,head,35200,392.6,691.6,7.4,97
2026-09-07T10:03:55.5936205+02:00,worker,44620,4283,6913.7,56.6,173
2026-09-07T10:03:57.6554803+02:00,head,35200,389.2,686.9,7.5,69
2026-09-07T10:03:57.6579984+02:00,worker,44620,4519.5,7510.7,67.4,171
2026-09-07T10:03:59.7006315+02:00,head,35200,388.5,685.9,7.5,56
2026-09-07T10:03:59.7036310+02:00,worker,44620,4521.5,7734.8,67.7,173
2026-09-07T10:04:01.7709570+02:00,head,35200,388.5,685.9,7.5,56
2026-09-07T10:04:01.7729568+02:00,worker,44620,4521.4,7734.7,67.7,171
2026-09-07T10:04:03.8473828+02:00,head,35200,388.8,686.1,7.5,54
2026-09-07T10:04:03.8503736+02:00,worker,44620,1873.2,2352,68.5,1
2026-09-07T10:04:12.0899640+02:00,head,31468,259.9,650,2,66
2026-09-07T10:04:12.0929642+02:00,worker,44120,191.7,1185.2,2,43
2026-09-07T10:04:14.1507017+02:00,head,31468,262.2,652.4,2.2,70
2026-09-07T10:04:14.1527683+02:00,worker,44120,292.3,1237.4,4.4,52
2026-09-07T10:04:16.2246438+02:00,head,31468,287,665.1,2.6,77
2026-09-07T10:04:16.2276438+02:00,worker,44120,329.5,1263.1,5.9,51
2026-09-07T10:04:18.2971788+02:00,head,31468,296.3,670.5,2.7,85
2026-09-07T10:04:18.3001827+02:00,worker,44120,903,1704.5,8.2,66
2026-09-07T10:04:20.4037844+02:00,head,31468,296.2,670.4,2.7,84
2026-09-07T10:04:20.4068289+02:00,worker,44120,2431.1,2963.6,10.5,89
2026-09-07T10:04:22.4375861+02:00,head,31468,294.2,669.5,2.7,83
2026-09-07T10:04:22.4400882+02:00,worker,44120,2998.4,3389,13,118
2026-09-07T10:04:24.4886291+02:00,head,31468,294.2,669.5,2.7,83
2026-09-07T10:04:24.4920343+02:00,worker,44120,3607.7,5311.4,14.9,133
2026-09-07T10:04:26.5389908+02:00,head,31468,294.2,669.5,2.8,83
2026-09-07T10:04:26.5415069+02:00,worker,44120,3609.9,5311.5,14.9,132
2026-09-07T10:04:28.5791938+02:00,head,31468,318.9,671.1,2.9,86
2026-09-07T10:04:28.5817893+02:00,worker,44120,3629.4,5139.2,15.3,131
2026-09-07T10:04:30.6532533+02:00,head,31468,318.9,671,2.9,85
2026-09-07T10:04:30.6572544+02:00,worker,44120,3631.5,5139.2,15.3,130
2026-09-07T10:04:32.7399987+02:00,head,31468,319,671.1,3,86
2026-09-07T10:04:32.7430091+02:00,worker,44120,3633.5,5139.2,15.4,130
2026-09-07T10:04:34.8116530+02:00,head,31468,319,671,3,85
2026-09-07T10:04:34.8146530+02:00,worker,44120,3635.6,5139.2,15.4,130
2026-09-07T10:04:36.8916307+02:00,head,31468,319,671,3,85
2026-09-07T10:04:36.8946341+02:00,worker,44120,3637.6,5139.2,15.5,130
2026-09-07T10:04:38.9862511+02:00,head,31468,318.3,668.3,3,50
2026-09-07T10:04:38.9888091+02:00,worker,44120,3650,5139.5,15.5,130
2026-09-07T10:04:41.0449101+02:00,head,31468,318.3,668.3,3,50
2026-09-07T10:04:41.0469109+02:00,worker,44120,3652,5139.6,15.6,130
2026-09-07T10:04:43.0874659+02:00,head,31468,318.3,668.3,3.1,52
2026-09-07T10:04:43.0904656+02:00,worker,44120,3654.1,5139.7,15.8,133
